id,Year,Category,Nominee
97,1962,Best Jazz Performance- Soloist or Small Group (Instrumental),Andre Previn Plays Harold Arlen.
2040,1995,Classical Producer of the Year,Andrew Cornall (artist)
4167,2017,Best Traditional R&B Performance,Angel
1226,1985,"Best Gospel Performance, Female",Angels.
3657,2011,Best Rock Song,Angry World.
795,1978,Best Cast Show Album,Annie
2462,2000,Best Musical Show Album,Annie Get Your Gun (The New Broadway Cast)
1835,1993,Best Music Video - Long Form,"Annie Lennox (artist), Sophie Muller (video director), Rob Small (video producer)"
4338,2019,Best Tropical Latin Album,Anniversary
1811,1993,Best Contemporary Folk Album,Another Country
1714,1991,Record of the Year,Another Day In Paradise
1307,1986,"Best Jazz Vocal Performance, Male",Another Night In Tunisia.
1337,1986,Best Vocal Arrangement for Two or More Voices,Another Night In Tunisia.
1382,1987,Best Polka Recording,Another Polka Celebration.
1933,1994,"Best R&B Vocal Performance, Female",Another Sad Love Song
1932,1994,Best R&B Vocal Performance - Female,Another Sad Love Song.
1687,1991,Best Pop Gospel Album,Another Time... Another Place
1171,1984,Best Mexican-American Performance,Anselma.
1555,1989,Best Tropical Latin Performance,Antecedente.
1252,1985,Best Reggae Recording,Anthem.
2222,1998,Best Album Notes,Anthology Of American Folk Music - 1997 Expanded Edition (Various Artists)
2249,1998,Best Historical Album,Anthology Of American Folk Music - 1997 Expanded Edition (Various Artists)
2398,1999,Best Traditional Blues Album,Any Place I'm Going
276,1966,Best Performance by a Chorus,Anyone For Mozart?
2516,2001,Best Classical Crossover Album,Appalachian Journey (Various Artists)
2786,2003,Best Rock Instrumental Performance,Approaching Pavonis Mons By Balloon (Utopia Planitia)
432,1970,Best Contemporary Vocal Performance by a Group,Aquarius/Let The Sunshine In (The Flesh Failures)
462,1970,Record of the Year,Aquarius/Let The Sunshine In (The Flesh Failures)
836,1978,Best Recording for Children,Aren't You Glad You're You (Various Artists)
1461,1988,"Best R&B Vocal Performance, Female",Aretha.
2819,2004,Best Classical Contemporary Composition,Argento: Casa Guidi
2608,2002,Best Album Notes,Arhoolie Records 40th Anniversary Collection - 1960-2000 The Journey Of Chris Strachwitz (Various Artists)
1913,1994,Best Latin Pop Album,Aries
2808,2003,"Producer of the Year, Non-Classical",Arif Mardin
729,1976,Best Producer of the Year,Arif Mardin (producer)
1839,1993,Best New Artist,Arrested Development (artist)
4239,2018,Best Regional Mexican Music Album (Including Tejano),Arriero somos versiones acusticas
2579,2001,Best Reggae Album,Art And Life
3384,2009,Best Historical Album,Art Of Field Recording Volume I: Fifty Years Of Traditional American Music Documented By Art Rosenbaum (Various artists)
1629,1990,"Best Soul Gospel Vocal Performance, Male or Female",As Long As We're Together
1776,1992,Best Reggae Album,As Raw As Ever
3593,2011,Best Country Collaboration with Vocals,As She's Walking Away
2722,2003,Best Contemporary R&B Album,Ashanti
4049,2016,"Best Engineered Album, Classical",Ask Your Mama
3445,2009,Best Traditional Folk Album,At 89
2699,2002,Best Traditional R&B Vocal Album,At Last
3561,2010,Best Traditional R&B Vocal Performance,At Last
3560,2010,Best Traditional R&B Performance,At Last.
727,1976,"Best Pop Vocal Performance, Female",At Seventeen
1165,1984,"Best Jazz Instrumental Performance, Group",At The Vanguard.
3087,2006,Best Pop Instrumental Album,At This Time
3159,2007,"Best Engineered Album, Non-Classical",At War With The Mystics
1364,1987,Best Historical Album,"Atlantic Rhythm And Blues 1947-1974, Vols. 1-7 (various artists)."
3476,2010,Best Contemporary R&B Gospel Album,Audience Of One
1947,1994,Best Spoken Word Album for Children,Audrey Hepburn's Enchanted Tales.
2771,2003,Best Pop Instrumental Performance,Auld Lang Syne
2252,1998,Best Instrumental Composition,Aung San Suu Kyi
1594,1990,"Best Jazz Instrumental Performance, Big Band",Aura
1596,1990,"Best Jazz Instrumental Performance, Soloist (On a Jazz Recording)",Aura
1265,1985,Best Vocal Arrangement for Two or More Voices,Automatic.
3283,2008,Best Jazz Vocal Album,Avant Gershwin
1375,1987,Best Mexican-American Performance,Ay Te Dejo en San Antonio.
4304,2019,"Best Latin Rock, Urban or Alternative Album",Aztlán
3057,2006,Best Hard Rock Performance,B.Y.O.B.
4051,2016,Best Folk Album,Béla Fleck And Abigail Washburn
3614,2011,Best Instrumental Arrangement with Accompanying Vocals,Baba Yetu
3767,2013,Album of the Year,Babel.
135,1963,Best Instrumental Arrangement,Baby Elephant Walk.
1855,1993,Best Rap Solo Performance,Baby Got Back
2064,1996,Best Female Country Vocal Performance,"Baby, Now That I've Found You"
2127,1996,Producer of the Year,Babyface
1392,1987,Best Reggae Recording,Babylon The Bandit.
802,1978,Best Classical Vocal Soloist Performance,Bach: Arias
80,1962,Best Classical Performance- Choral (Other Than Opera),Bach: B Minor Mass.
3033,2006,Best Classical Vocal Performance,Bach: Cantatas
1571,1990,Best Classical Performance - Instrumental Soloist (without orchestra),Bach: English Suites
2346,1999,Best Instrumental Soloist Performance (without orchestra),"Bach: English Suites Nos. 1, 3 & 6"
284,1966,Most Promising New Classical Recording Artist,Bach: Goldberg Variations
1763,1992,Best Performance of a Choral Work,Bach: Mass In B Minor
705,1976,Best Classical Performance Instrumental Soloist or Soloists (without orchestra),Bach: Sonatas And Partitas For Violin Unaccompanied
2613,2002,Best Choral Performance,Bach: St. Matthew Passion
121,1963,Best Classical Performance- Choral (Other Than Opera),Bach: St. Matthew Passion.
2254,1998,Best Instrumental Soloist Performance (without orchestra),Bach: Suites For Solo Cello Nos. 1-6
1085,1983,Best Classical Album,Bach: The Goldberg Variations.
1214,1985,Best Classical Performance – Instrumental Soloist or Soloists (without orchestra),Bach: The Unaccompanied Cello Suites.
1790,1992,Best Tropical Latin Album,Bachata Rosa
182,1964,Best Performance by a Chorus,Bach's Greatest Hits.
3050,2006,"Best Engineered Album, Non-Classical",Back Home
1360,1987,"Best Engineered Recording, Non-Classical",Back In The High Life.
1638,1991,Album of the Year,Back On The Block
1662,1991,"Best Engineered Recording, Non-Classical",Back On the Block
1694,1991,Best Rap Performance by a Duo or Group,Back On The Block
3308,2008,Best Pop Vocal Album,Back to Black
1616,1990,Best R&B Performance by a Duo or Group with Vocal,Back To Life
4302,2019,Best Latin Jazz Album,Back to the Sunset
1396,1987,"Best Rock Vocal Performance, Female",Back Where You Started.
1937,1994,Best Reggae Album,Bad Boys
1702,1991,"Best Rock Vocal Performance, Male",Bad Love
3605,2011,Best Female Pop Vocal Performance,Bad Romance.
1433,1988,"Best Engineered Recording, Non-Classical",Bad.
2283,1998,Best R&B Album,Baduizm
664,1975,Best Engineered Recording - Non-Classical,Band On The Run
676,1975,"Best Pop Vocal Performance by a Duo, Group or Chorus",Band On The Run
3715,2012,Best Historical Album,Band On The Run (Paul McCartney Archive Collection - Deluxe Edition)
3790,2013,Best Dance/Electronica Album,Bangarang
3789,2013,Best Dance Recording,Bangarang (With artist Sirah).
3791,2013,Best Electronic/Dance Album,Bangarang.
3280,2008,Best Instrumental Soloist(s) Performance (with Orchestra),Barber/Korngold/Walton: Violin Concertos
1241,1985,Best New Classical Composition,Barber: Antony And Cleopatra.
1572,1990,"Best Classical Performance, Instrumental Soloist (with orchestra)","Barber: Cello Concerto, Op. 22/Britten: Symphony For Cello And Orchestra, Op. 68"
205,1965,Best Composition by a Contemporary Composer,Barber: Piano Concerto
1747,1992,Best Instrumental Soloist With Orchestra,Barber: Piano Concerto
2319,1999,Best Choral Performance,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
2320,1999,Best Classical Album,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
2334,1999,"Best Engineered Album, Classical",Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
1885,1994,Best Classical Performance-Instrumental Soloist (without orchestra),Barber: The Complete Solo Piano Music
1810,1993,Best Contemporary Composition,Barber: The Lovers
461,1970,"Best Vocal Soloist Performance, Classical",Barber: Two Scenes From Antony And Cleopatra/Knoxville: Summer Of 1915
294,1967,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)"
1568,1990,Best Chamber Music Performance,Bartók: 6 String Quartets
1570,1990,Best Classical Album,Bartók: 6 String Quartets
2366,1999,Best Opera Recording,Bartók: Bluebeard's Castle
1924,1994,Best Performance of a Choral Work,Bartók: Cantata Profana
601,1974,"Album of the Year, Classical",Bartók: Concerto For Orchestra
610,1974,"Best Classical Performance, Orchestra",Bartók: Concerto For Orchestra
618,1974,"Best Engineered Recording, Classical",Bartók: Concerto For Orchestra
164,1964,Best Classical Performance- Orchestra,Bartók: Concerto For Orchestra.
2009,1995,Best Orchestral Performance,"Bartók: Concerto For Orchestra: Four Orchestral Pieces, Op. 12"
1964,1995,Best Classical Album,"Bartók: Concerto For Orchestra; Four Orchestral Pieces, Op. 12"
2052,1996,Best Classical Engineered Recording,Bartók: Concerto For Orchestra; Kossuth - Symphonic Poem
243,1966,Best Album Cover - Graphic Arts,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin
44,1961,Best Classical Performance- Orchestra,"Bartók: Music For Strings, Percussion And Celeste."
909,1980,"Best Classical Performance, Instrumental Soloist or Soloists (with orchestra)",Bartók: Piano Cons. Nos. 1 & 2.
1489,1989,Best Chamber Music Performance,Bartók: Sonata for Two Pianos & Percussion.
247,1966,Best Classical Chamber Music Performance - Instrumental or Vocal,Bartók: The Six String Quartets - Nos. 1-6
2164,1997,Best Instrumental Soloist(s) Performance (with orchestra),Bartók: The Three Piano Concertos
1923,1994,Best Orchestral Performance,Bartók: The Wooden Prince
1884,1994,Best Classical Album,Bartók: The Wooden Prince & Cantata Profana
1901,1994,"Best Engineered Recording, Classical",Bartók: The Wooden Prince & Cantata Profana
81,1962,Best Classical Performance- Instrumental Soloist (With Orchestra),Bartók: Violin Concerto No. 1.
3703,2012,Best Country Duo/Group Performance,Barton Hollow.
3710,2012,Best Folk Album,Barton Hollow.
22,1959,Best Performance by a Dance Band,Basie
770,1977,Best Jazz Performance by a Soloist (instrumental),Basie And Zoot
18,1959,"Best Jazz Performance, Group",Basie.
1669,1991,"Best Jazz Instrumental Performance, Big Band",Basie's Bag
1745,1992,Best Instrumental Composition,Basque
3956,2015,Best Contemporary Instrumental Album,Bass & Mandolin.
4311,2019,Best Opera Recording,Bates: The (R)evolution Of Steve Jobs
311,1967,Best Instrumental Theme,Batman Theme
1592,1990,Best Instrumental Composition,Batman Theme.
3603,2011,"Best Engineered Album, Non-Classical",Battle Studies
